OBJECTID,Type,Lien,Nom,NUM_INDEX,SUPERFICIE,PROPRIETE,GESTION,COMPETENCE,TYPO1,TYPO2
1775,Parc,,Dante,0303-000,0.2230846891350052,Ville de Montréal,Rosemont-La Petite-Patrie,Arrondissement,Parc d'arrondissement,Parc de quartier
1776,Parc,de,Rosemont,0196-000,1.3941804974236138,Ville de Montréal,Rosemont-La Petite-Patrie,Arrondissement,Parc d'arrondissement,Parc de quartier
1777,,,Damien-Gauthier,1231-000,2.3162351190509893,Ville de Montréal,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,Parc d'arrondissement,Îlot de verdure
1778,Parc,,Rodrigue-Gilbert,0838-001,0.4584861268472453,Ville de Montréal,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,Parc d'arrondissement,Îlot de verdure
1779,Parc,,Sainte-Famille,2916-000,0.7798391428255964,Ville de Montréal,Verdun,Arrondissement,Parc d'arrondissement,Îlot de verdure
1780,Parc,,Willibrord,2919-000,0.8857516700634984,Ville de Montréal,Verdun,Arrondissement,Parc d'arrondissement,Parc de quartier
1781,Îlot,,Barbeau,2860-017,0.031258954600233556,Ville de Montréal,Saint-Léonard,Arrondissement,Espace voirie,Îlot de voirie
1782,,,Sainte-Rose / Plessis,0500-000,0.06924500066702478,Ville de Montréal,Ville-Marie,Arrondissement,Parc d'arrondissement,Place publique
1783,Parc,,Médéric-Martin,0252-000,0.9429809476956277,Ville de Montréal,Ville-Marie,Arrondissement,Parc d'arrondissement,Parc de quartier
1784,Parc,,Joly,2380-000,0.08354009702078169,Ville de Montréal,L'Île-Bizard-Sainte-Geneviève,Arrondissement,Parc d'arrondissement,Parc de voisinage
1785,Parc,,Georges-Legault,2381-000,0.07004005815582087,Ville de Montréal,L'Île-Bizard-Sainte-Geneviève,Arrondissement,Parc d'arrondissement,Îlot de verdure
1786,,,,,0.06102360814396275,,,,En cours de validation,
1787,,,York / De Roberval,1020-000,0.12069387971496823,Ville de Montréal,Le Sud-Ouest,Arrondissement,Espace voirie,Îlot de voirie
1788,Parc,,Technométropolitain,1093-000,0.5158939852151582,Ville de Montréal,Le Sud-Ouest,Arrondissement,Autre espace vert,Parc écran
1789,Parc,de l',Encan,0372-000,0.3574426227192827,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Parc de voisinage
1790,Parc,,Richelieu,0697-000,0.9381764577876893,Ville de Montréal,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,Parc d'arrondissement,Parc de quartier
1791,,,33e Av. / Cn,1005-000,0.2996872476906067,Ville de Montréal,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,Parc d'arrondissement,Îlot de verdure
1792,Place,,Iona-Monahan,1292-000,0.10438331379543886,Ville de Montréal,Ahuntsic-Cartierville,Arrondissement,Parc d'arrondissement,Place publique
1793,Place,,Antonino-Spada,2871-014,0.10105060277536859,Ville de Montréal,Saint-Léonard,Arrondissement,Parc d'arrondissement,Parc de voisinage
1794,Parc,,Dickie-Moore,1220-000,0.4159794352569305,Ville de Montréal,Villeray-Saint-Michel-Parc-Extension,Arrondissement,Parc d'arrondissement,Parc de quartier
1795,Parc,,Hector-Charland,0583-000,0.029982239813133117,Ville de Montréal,Ville-Marie,Arrondissement,Parc d'arrondissement,Îlot de verdure
1796,Place,,Jean-Paul-Riopelle,1208-000,0.30122297955409155,Ville de Montréal,Ville-Marie,Arrondissement,Parc d'arrondissement,Place publique
1797,,,Arthur-Généreux / Jovette-Bernier,1123-000,0.26561634446578497,Ville de Montréal,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,Parc d'arrondissement,Parc de quartier
1798,Parc,,Versailles,0695-000,0.33568975265383355,Ville de Montréal,Rivière-des-Prairies-Pointe-aux-Trembles,Arrondissement,Parc d'arrondissement,Parc de quartier
1799,,,Glandelet,2865-000,0.4089315151229383,Ville de Montréal,Saint-Léonard,Arrondissement,Parc d'arrondissement,Parc de voisinage
1800,Parc,,Duquette,2903-000,0.5358741821262805,Ville de Montréal,Verdun,Arrondissement,Parc d'arrondissement,Parc de quartier
1801,Parc,,Coronation,2897-000,0.5400516041422627,Ville de Montréal,Verdun,Arrondissement,Parc d'arrondissement,Parc de quartier
1802,,,,,0.009099151400062299,,,,En cours de validation,
1803,,,,,0.029364728049914766,Ville de Montréal,Verdun,Arrondissement,En cours de validation,
1804,,,,,0.01592198613881507,Ville de Montréal,Verdun,Arrondissement,En cours de validation,
1805,Parc,,Sammy-Hill,0259-000,0.3334928017949994,Ville de Montréal,Le Sud-Ouest,Arrondissement,Parc d'arrondissement,Parc de voisinage
